artist_spotify_id,artist,song_title,song_image_url,release_year_songs,genre,language,streams_songs,weekly_gain_songs
5WUlDfRSoLAfcVSX1WnrxN,Sia,Cheap Thrills,https://i.scdn.co/image/ab67616d0000485149e0134c686547c28b7c999f,2015,Pop,English,2102311067,544208
711MCceyCBcFnzjGY4Q7Un,AC/DC,Back In Black,https://i.scdn.co/image/ab67616d000048510b51f8d91f3a21e8426361ae,1980,Hard Rock,English,2099682246,1037129
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Earned It,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b,2014,R&B,English,2098293353,653903
4MCBfE4596Uoi2O4DtmEMz,Juice Wrld,All Girls Are The Same,https://i.scdn.co/image/ab67616d00004851f7db43292a6a99b21b51d5b4,2018,Hip-hop,English,2095843570,597782
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,Pink + White,https://i.scdn.co/image/ab67616d00004851c5649add07ed3720be9d5526,2016,R&B,English,2095627770,1004315
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,Woman,https://i.scdn.co/image/ab67616d0000485114b7b2a920a41166d53ddd49,2021,Pop,English,2095307216,752088
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,Despacito,https://i.scdn.co/image/ab67616d00004851ef0d4234e1a645740f77d59c,2017,Reggaeton,Spanish,2090721366,622023
5ZsFI1h6hIdQRw2ti0hz81,Zayn,I Don't Wanna Live Forever,https://i.scdn.co/image/ab67616d000048515997605214d568d73fd365c2,2016,Pop,English,2090543771,737197
04gDigrS5kc9YWfZHwBETP,Maroon 5,Moves Like Jagger,https://i.scdn.co/image/ab67616d00004851fa3a65f3cc278be4fb98e1b2,2011,Pop,English,2075495046,1075211
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Everything I Wanted,https://i.scdn.co/image/ab67616d00004851f2248cf6dad1d6c062587249,2019,Alternative,English,2073978356,618912
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Poker Face,https://i.scdn.co/image/ab67616d00004851613aaa3ae566d9f36008aed0,2008,Pop,English,2070470785,1336269
0TnOYISbd1XYRBk9myaseg,Pitbull,Timber,https://i.scdn.co/image/ab67616d00004851f2486b438645e97b523e4f90,2013,Electronic,English,2069511659,1060755
6KImCVD70vtIoJWnq6nGn3,Harry Styles,Sign Of The Times,https://i.scdn.co/image/ab67616d000048516c619c39c853f8b1d67b7859,2017,Rock,English,2068502270,1316686
5CiGnKThu5ctn9pBxv7DGa,Benny Blanco,Eastside,https://i.scdn.co/image/ab67616d00004851693dbf001d5b2d06ad9e5f4d,2018,Pop,English,2066974299,468326
3q7HBObVc0L8jNeTe5Gofh,50 Cent,In Da Club,https://i.scdn.co/image/ab67616d00004851d843fabb75fef14010e30cae,2003,Hip-hop,English,2061705337,1038616
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Fix You,https://i.scdn.co/image/ab67616d000048514e0362c225863f6ae2432651,2005,Rock,English,2060088376,871014
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,Best Part,https://i.scdn.co/image/ab67616d000048513138f891f3075c9c5d944037,2017,R&B,English,2055786638,887740
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,Daddy Issues,https://i.scdn.co/image/ab67616d000048513066581d697fbdee4303d685,2015,Alternative,English,2054069162,796676
4q3ewBCX7sLwd24euuV69X,Bad Bunny,Tití Me Preguntó,https://i.scdn.co/image/ab67616d0000485149d694203245f241a1bcaa72,2022,Reggaeton,Spanish,2053452729,3242101
0DxeaLnv6SyYk2DOqkLO8c,Magic!,Rude,https://i.scdn.co/image/ab67616d0000485104cbccec7dcb8f6d2d6bf99d,2013,Reggae / Dancehall,English,2053125640,953462
2qk9voo8llSGYcZ6xrBzKx,Kings Of Leon,Sex On Fire,https://i.scdn.co/image/ab67616d000048512519d01c0cca06f134eeadd8,2008,Rock,English,2052923227,1282905
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,What Do You Mean?,https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de,2015,Pop,English,2043739915,854727
716NhGYqD1jl2wI1Qkgq36,Bizarrap,"Bzrp Music Sessions, Vol. 52",https://i.scdn.co/image/ab67616d00004851946f1ea32cc7681e7a86e9ca,2022,Electronic,Spanish,2043530687,531265
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Talking To The Moon,https://i.scdn.co/image/ab67616d00004851f60070dce96a2c1b70cf6ff0,2010,Pop,English,2034933490,1177526
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,I Gotta Feeling,https://i.scdn.co/image/ab67616d000048510bd44f5ff9ecc99f7770acc5,2009,Pop,English,2031618123,1127278
6KImCVD70vtIoJWnq6nGn3,Harry Styles,Adore You,https://i.scdn.co/image/ab67616d0000485125180571abce9472f61bd722,2019,Pop,English,2030097337,1066652
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,Sweet But Psycho,https://i.scdn.co/image/ab67616d000048519a95e89d24214b94de36ccf7,2018,Pop,English,2028704969,705827
1RyvyyTE3xzB2ZywiAwp0i,Future,Mask Off,https://i.scdn.co/image/ab67616d00004851e0b64c8be3c4e804abcb2696,2017,Hip-hop,English,2027888816,649928
360IAlyVv4PCEVjgyMZrxK,Miguel,Sure Thing,https://i.scdn.co/image/ab67616d00004851d5a8395b0d80b8c48a5d851c,2010,R&B,English,2026965064,1113925
7GlBOeep6PqTfFi59PTUUN,Chappell Roan,"Good Luck, Babe!",https://i.scdn.co/image/ab67616d0000485191b4bc7c88d91a42e0f3a8b7,2024,Pop,English,2025633612,1554172
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,One Last Time,https://i.scdn.co/image/ab67616d000048519e730d8fbd256885242f1e96,2014,Electronic,English,2025462378,880504
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,Young And Beautiful,https://i.scdn.co/image/ab67616d0000485174160d1c9ec851f7c4acaef1,2013,Alternative,English,2022787093,1343149
31TPClRtHm23RisEBtV3X7,Justin Timberlake,Can't Stop The Feeling!,https://i.scdn.co/image/ab67616d00004851d965d29d7dcf46ade5a8a7e4,2016,Pop,English,2021559315,442902
2ye2Wgw4gimLv2eAKyk1NB,Metallica,Enter Sandman,https://i.scdn.co/image/ab67616d00004851167cb6a039a78b7804f33426,1991,Metal,English,2020457567,1227137
3FUY2gzHeIiaesXtOAdB7A,Train,"Hey, Soul Sister",https://i.scdn.co/image/ab67616d000048516ff8bc258e3ebc835ffe14ca,2009,Pop,English,2015829499,612667
7CajNmpbOovFoOoasH2HaY,Calvin Harris,Summer,https://i.scdn.co/image/ab67616d000048518fba5806a323efd272677c4d,2014,Electronic,English,2014291830,1007889
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,I Want It That Way,https://i.scdn.co/image/ab67616d000048512160c02bc56f192df0f4986b,1999,Pop,English,2012938847,945937
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Shivers,https://i.scdn.co/image/ab67616d00004851ef24c3fdbf856340d55cfeb2,2021,Pop,English,2007615131,562608
6bmlMHgSheBauioMgKv2tn,Powfu,Death Bed (Coffee For Your Head),https://i.scdn.co/image/ab67616d000048519549aab58d86eb39fe930f43,2019,Hip-hop,English,1999647985,514330
04gDigrS5kc9YWfZHwBETP,Maroon 5,She Will Be Loved,https://i.scdn.co/image/ab67616d0000485117b3850d758fff5a2301e537,2002,Rock,English,1995902153,927738
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Lover,https://i.scdn.co/image/ab67616d00004851e787cffec20aa2a396a61647,2019,Pop,English,1993246352,722151
0TnOYISbd1XYRBk9myaseg,Pitbull,Give Me Everything,https://i.scdn.co/image/ab67616d000048511dc7483a9fcfce54822a2f19,2011,Pop,English,1993096447,1586773
7EQ0qTo7fWT7DPxmxtSYEc,Bastille,Pompeii,https://i.scdn.co/image/ab67616d00004851faee7306ec2f36aeccc4bc98,2013,Alternative,English,1992511843,653355
6T5tfhQCknKG4UnH90qGnz,DNCE,Cake By The Ocean,https://i.scdn.co/image/ab67616d000048518d0a75346badc30c8b845be9,2015,Pop,English,1985715986,645313
7CvTknweLr9feJtRGrpDBy,FloyyMenor,Gata Only,https://i.scdn.co/image/ab67616d00004851200e2b6526846c59789c92e6,2024,Reggaeton,Spanish,1982574959,1169126
06HL4z0CvFAxyc27GXpf02,Taylor Swift,Anti-Hero,https://i.scdn.co/image/ab67616d00004851bb54dde68cd23e2a268ae0f5,2022,Pop,English,1977876541,455295
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,Redbone,https://i.scdn.co/image/ab67616d000048517582716b3666a5235d5af4ea,2016,Soul / Motown R&B,English,1966482318,649084
57vWImR43h4CaDao012Ofp,Steve Lacy,Dark Red,https://i.scdn.co/image/ab67616d000048514a6f514da7ab2b81a6f97e72,2017,Soul / Motown R&B,English,1964876875,870084
45dkTj5sMRSjrmBSBeiHym,Tate McRae,You Broke Me First,https://i.scdn.co/image/ab67616d000048517e2764c2192137c81a9e2cab,2020,Pop,English,1963933977,551077
23zg3TcAtWQy7J6upgbUnj,Usher,Yeah!,https://i.scdn.co/image/ab67616d00004851365b3fb800c19f7ff72602da,2004,R&B,English,1960314639,1235775
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Sparks,https://i.scdn.co/image/ab67616d000048519164bafe9aaa168d93f4816a,2000,Alternative,English,1957847305,1724591
6olE6TJLqED3rqDCT0FyPh,Nirvana,Come As You Are,https://i.scdn.co/image/ab67616d00004851fbc71c99f9c1296c56dd51b6,1991,Rock,English,1956656216,1428235
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Enemy,https://i.scdn.co/image/ab67616d00004851fc915b69600dce2991a61f13,2021,Alternative,English,1955506591,551440
6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,Call Me Maybe,https://i.scdn.co/image/ab67616d00004851d3ee4bf67c2ac2154006ad72,2011,Pop,English,1940351470,985532
5eAWCfyUhZtHHtBdNk56l1,System Of A Down,Chop Suey!,https://i.scdn.co/image/ab67616d0000485107bc7d2a745636c356b4d0aa,2001,Metal,English,1938505008,1123053
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,Californication,https://i.scdn.co/image/ab67616d0000485194d08ab63e57b0cae74e8595,1999,Rock,English,1938028944,1066182
