rank,song,artist,image_url,spotify_id,streams_songs,weekly_gain_songs,year_songs,genre,language
33,Watermelon Sugar,Harry Styles,https://i.scdn.co/image/ab67616d0000485125180571abce9472f61bd722,6KImCVD70vtIoJWnq6nGn3,3223972037,1054343,2019,Pop,English
34,Viva La Vida,Coldplay,https://i.scdn.co/image/ab67616d00004851121b47fdc79958a05e67fb17,4gzpq5DPGxSnKTe4SA8HAU,3220282548,1613960,2008,Alternative,English
35,Die For You,The Weeknd,https://i.scdn.co/image/ab67616d000048514718e2b124f79258be7bc452,1Xyo4u8uXC1ZmMpatF05PJ,3179921231,1266286,2016,Pop,English
36,Iris,The Goo Goo Dolls,https://i.scdn.co/image/ab67616d00004851eda9478c39a21e1cdc6609ca,2sil8z5kiy4r76CRTXxBCA,3177414895,2685953,1998,Rock,English
37,Don't Start Now,Dua Lipa,https://i.scdn.co/image/ab67616d000048512172b607853fa89cefa2beb4,6M2wZ9GZgrQXHCFfjv46we,3173926709,894762,2019,Pop,English
38,Just The Way You Are,Bruno Mars,https://i.scdn.co/image/ab67616d00004851f60070dce96a2c1b70cf6ff0,0du5cEVh5yTK9QJze8zA0C,3160952685,1655160,2010,Pop,English
39,Locked Out Of Heaven,Bruno Mars,https://i.scdn.co/image/ab67616d00004851926f43e7cce571e62720fd46,0du5cEVh5yTK9QJze8zA0C,3097810525,2467934,2012,Rock,English
40,Circles,Post Malone,https://i.scdn.co/image/ab67616d000048519478c87599550dd73bfa7e02,246dkjvS1zLTtiykXe5h60,3096968393,918165,2019,Pop,English
41,Love Yourself,Justin Bieber,https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de,1uNFoZAHBGtllmzznpCI3s,3092902902,1218509,2015,Pop,English
42,Lucid Dreams,Juice Wrld,https://i.scdn.co/image/ab67616d00004851f7db43292a6a99b21b51d5b4,4MCBfE4596Uoi2O4DtmEMz,3085339932,670795,2018,Hip-hop,English
43,Bohemian Rhapsody,Queen,https://i.scdn.co/image/ab67616d00004851e319baafd16e84f0408af2a0,1dfeR4HaWDbWqFHLkxsg1d,3082346663,1096299,1975,Rock,English
44,Goosebumps,Travis Scott ft. Kendrick Lamar,https://i.scdn.co/image/ab67616d00004851f54b99bf27cda88f4a7403ce,0Y5tJX1MQlPlqiwlOH1tJY,3079680956,711709,2016,Hip-hop,English
45,That's What I Like,Bruno Mars,https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5,0du5cEVh5yTK9QJze8zA0C,3079413268,2080790,2017,Soul / Motown R&B,English
46,Mr. Brightside,The Killers,https://i.scdn.co/image/ab67616d00004851ccdddd46119a4ff53eaf1f5d,0C0XlULifJtAgn6ZNCW2eu,3057901144,2146482,2003,Rock,English
47,Thinking Out Loud,Ed Sheeran,https://i.scdn.co/image/ab67616d0000485113b3e37318a0c247b550bccd,6eUKZXaKkcviH0Ku9w2n3V,3053424162,1038641,2014,Pop,English
48,In The End,Linkin Park,https://i.scdn.co/image/ab67616d00004851e2f039481babe23658fc719a,6XyY86QOPPrYVGvF9ch6wz,3047899883,1812912,2000,Metal,English
49,When I Was Your Man,Bruno Mars,https://i.scdn.co/image/ab67616d00004851926f43e7cce571e62720fd46,0du5cEVh5yTK9QJze8zA0C,3045305917,1834522,2012,Pop,English
50,Shallow,Lady Gaga & Bradley Cooper,https://i.scdn.co/image/ab67616d00004851b5d4b4ed17ec86c4b3944af2,1HY2Jd0NmPuamShAr6KMms,3031301478,891593,2018,Rock,English
51,Wake Me Up,Avicii ft. Aloe Blacc,https://i.scdn.co/image/ab67616d00004851c3760c26cc5374ddbd9fd530,1vCWHaC5f2uS3yhpwWbIA6,3027247344,1187713,2013,Electronic,English
52,All Of Me,John Legend,https://i.scdn.co/image/ab67616d0000485194c9217a398f5174757c0c78,5y2Xq6xcjJb2jVM54GHK3t,3012400232,998367,2013,Pop,English
53,God's Plan,Drake,https://i.scdn.co/image/ab67616d00004851f907de96b9a4fbc04accc0d5,3TVXtAsR1Inumwj472S9r4,3008857982,930674,2018,Hip-hop,English
54,Without Me,Eminem,https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4,7dGJo4pcD2V6oG8kP0tJRR,2992290400,1459221,2002,Hip-hop,English
55,The Hills,The Weeknd,https://i.scdn.co/image/ab67616d000048517fcead687e99583072cc217b,1Xyo4u8uXC1ZmMpatF05PJ,2970881737,1087805,2015,R&B,English
56,Thunder,Imagine Dragons,https://i.scdn.co/image/ab67616d000048515675e83f707f1d7271e5cf8a,53XhwfbYqKCa1cC15pYq2q,2962018941,827371,2017,Alternative,English
57,Demons,Imagine Dragons,https://i.scdn.co/image/ab67616d00004851407bd04707c463bbb3410737,53XhwfbYqKCa1cC15pYq2q,2960396987,968571,2012,Alternative,English
58,Stressed Out,Twenty One Pilots,https://i.scdn.co/image/ab67616d000048512df0d98a423025032d0db1f7,3YQKmKGau1PzlVlkL1iodx,2952918059,1267717,2015,Alternative,English
59,Let Me Love You,DJ Snake ft. Justin Bieber,https://i.scdn.co/image/ab67616d00004851212d776c31027c511f0ee3bc,540vIaP2JwjQb9dm3aArA4,2920604958,1513617,2016,Electronic,English
60,Do I Wanna Know?,Arctic Monkeys,https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163,7Ln80lUS6He07XvHI8qqHH,2903810355,1206326,2013,Rock,English
61,All The Stars,Kendrick Lamar & SZA,https://i.scdn.co/image/ab67616d00004851c027ad28821777b00dcaa888,2YZyLoL8N0Wb9xBt1NhZWg,2885749595,1726573,2018,Hip-hop,English
62,Bad Guy,Billie Eilish,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce,6qqNVTkY8uBg9cP3Jd7DAH,2884596680,501667,2019,Alternative,English
63,Humble,Kendrick Lamar,https://i.scdn.co/image/ab67616d000048518b52c6b9bc4e43d873869699,2YZyLoL8N0Wb9xBt1NhZWg,2867345957,839689,2017,Hip-hop,English
64,Espresso,Sabrina Carpenter,https://i.scdn.co/image/ab67616d00004851fd8d7a8d96871e791cb1f626,74KM79TiuVKeVCqs8QtB0B,2852083910,1903282,2024,Pop,English
65,No Role Modelz,J. Cole,https://i.scdn.co/image/ab67616d00004851c6e0948bbb0681ff29cdbae8,6l3HvQ5sa6mXTsMTB19rO5,2848511212,1131702,2014,Hip-hop,English
66,Lose Yourself,Eminem,https://i.scdn.co/image/ab67616d00004851d2a9744ce3913664175e9197,7dGJo4pcD2V6oG8kP0tJRR,2832453875,1086481,2002,Hip-hop,English
67,Unforgettable,French Montana ft. Swae Lee,https://i.scdn.co/image/ab67616d000048518a31195a371b2233456f6c07,6vXTefBL93Dj5IqAWq6OTv,2823696399,1425017,2017,Reggae / Dancehall,English
68,See You Again,"Tyler, The Creator ft. Kali Uchis",https://i.scdn.co/image/ab67616d000048518940ac99f49e44f59e6f7fb3,4V8LLVI7PbaPR0K2TGSxFF,2821933003,1489777,2017,R&B,English
69,Seven,Jung Kook ft. Latto,https://i.scdn.co/image/ab67616d00004851741fd4807f442af3f7359316,6HaGTQPmzraVmaVxvz6EUc,2817839942,1723742,2023,Pop,English
70,Beautiful Things,Benson Boone,https://i.scdn.co/image/ab67616d00004851cc04ff3e70e146ba9abacf40,22wbnEMDvgVIAGdFeek6ET,2817472191,2085918,2024,Rock,English
71,Flowers,Miley Cyrus,https://i.scdn.co/image/ab67616d0000485158039b5147731b6e52202e46,5YGY8feqx7naU7z4HrwZM6,2802095347,1020068,2023,Pop,English
72,Smells Like Teen Spirit,Nirvana,https://i.scdn.co/image/ab67616d00004851fbc71c99f9c1296c56dd51b6,6olE6TJLqED3rqDCT0FyPh,2795964269,1606112,1991,Rock,English
73,Sorry,Justin Bieber,https://i.scdn.co/image/ab67616d00004851f46b9d202509a8f7384b90de,1uNFoZAHBGtllmzznpCI3s,2783969326,1392374,2015,Electronic,English
74,Treat You Better,Shawn Mendes,https://i.scdn.co/image/ab67616d00004851ea3ef7697cfd5705b8f47521,7n2wHs1TKAczGzO7Dd2rGr,2781341670,1026369,2016,Pop,English
75,The Scientist,Coldplay,https://i.scdn.co/image/ab67616d00004851de09e02aa7febf30b7c02d82,4gzpq5DPGxSnKTe4SA8HAU,2772631454,1321269,2002,Rock,English
76,Clean Baby Sleep White Noise (Loopable),Dream Supplier,https://i.scdn.co/image/ab67616d00004851f036cfd075904b4e8445877c,6Cqtx9fpxzggIMuKn0RGCp,2770279741,1765831,2020,Non music,Instrumental
77,Drivers License,Olivia Rodrigo,https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a,1McMsnEElThX1knmY4oliG,2769841427,950532,2021,Pop,English
78,Let Her Go,Passenger,https://i.scdn.co/image/ab67616d0000485183b56b03fd0052c604a32eba,0gadJ2b9A4SKsB1RFkBb66,2765203305,703328,2012,Folk,English
79,7 Rings,Ariana Grande,https://i.scdn.co/image/ab67616d0000485156ac7b86e090f307e218e9c8,66CXWjxzNUsdJxJ2JdwvnR,2760928618,834394,2019,Hip-hop,English
80,Don't Stop Believin',Journey,https://i.scdn.co/image/ab67616d00004851c5653f9038e42efad2f8a266,0rvjqX7ttXeg3mTy8Xscbt,2753630409,1082806,1981,Rock,English
81,Creep,Radiohead,https://i.scdn.co/image/ab67616d00004851ec548c00d3ac2f10be73366d,4Z8W4fKeB5YxbusRsdQVPb,2751694901,2213379,1992,Rock,English
82,Kill Bill,SZA,https://i.scdn.co/image/ab67616d00004851bc18bdade69ec5ef0bb25b17,7tYKF4w9nC0nq9CsPZTHyP,2741076621,962271,2022,R&B,English
83,There's Nothing Holdin' Me Back,Shawn Mendes,https://i.scdn.co/image/ab67616d00004851ea3ef7697cfd5705b8f47521,7n2wHs1TKAczGzO7Dd2rGr,2728353467,1080171,2016,Pop,English
84,505,Arctic Monkeys,https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface,7Ln80lUS6He07XvHI8qqHH,2710131977,1709098,2007,Rock,English
85,Wonderwall,Oasis,https://i.scdn.co/image/ab67616d000048517a4c8c59851c88f6794c3cbf,2DaxqgrOhkeH0fpeiQq2f4,2692849132,1284639,1995,Rock,English
86,Take On Me,a-ha,https://i.scdn.co/image/ab67616d00004851bef9f4a09cbd907776bb6438,2jzc5TC5TVFLXQlBNiIUzE,2687379929,1240047,1985,Pop,English
87,Save Your Tears,The Weeknd,https://i.scdn.co/image/ab67616d000048518863bc11d2aa12b54f5aeb36,1Xyo4u8uXC1ZmMpatF05PJ,2649094122,1012284,2020,Pop,English
88,Cold Heart [Pnau Remix],Elton John & Dua Lipa ft. Pnau,https://i.scdn.co/image/ab67616d0000485195bce0485d37868c9fe5be58,3PhoLpVuITZKcymswpck5b,2649080493,980550,2021,Pop,English
89,Numb,Linkin Park,https://i.scdn.co/image/ab67616d000048515f1f51d14e8bea89484ecd1b,6XyY86QOPPrYVGvF9ch6wz,2644044669,1549441,2003,Metal,English
90,One Kiss,Calvin Harris & Dua Lipa,https://i.scdn.co/image/ab67616d00004851ae395b47b186c2bc8c458e0f,7CajNmpbOovFoOoasH2HaY,2640349055,612350,2018,Electronic,English
91,Sweet Child O' Mine,Guns N' Roses,https://i.scdn.co/image/ab67616d00004851275b7ffe49eb84ab13a71980,3qm84nBOXUEQ2vnTfUTTFC,2618123174,1399869,1987,Hard Rock,English
92,Lean On,Major Lazer ft. MØ & DJ Snake,https://i.scdn.co/image/ab67616d00004851ed17a14e09145f2986a42726,738wLrAtLtCtFOLvQBXOXp,2598121407,1414073,2015,Electronic,English
93,Good 4 U,Olivia Rodrigo,https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a,1McMsnEElThX1knmY4oliG,2598054016,598767,2021,Rock,English
94,Don't Stop Me Now,Queen,https://i.scdn.co/image/ab67616d000048517c39dd133836c2c1c87e34d6,1dfeR4HaWDbWqFHLkxsg1d,2589906802,1027323,1978,Rock,English
95,Dreams,Fleetwood Mac,https://i.scdn.co/image/ab67616d00004851e52a59a28efa4773dd2bfe1b,08GQAI4eElDnROBrJRGE0X,2588979483,1753482,1977,Rock,English
96,Uptown Funk,Mark Ronson ft. Bruno Mars,https://i.scdn.co/image/ab67616d00004851e419ccba0baa8bd3f3d7abf2,3hv9jJF3adDNsBSIQDqcjp,2585418085,1083828,2014,Soul / Motown R&B,English
97,Payphone,Maroon 5 ft. Wiz Khalifa,https://i.scdn.co/image/ab67616d00004851fc8633e22a7dba6aab817bff,04gDigrS5kc9YWfZHwBETP,2583737294,1309462,2012,Pop,English
98,Happier,Marshmello ft. Bastille,https://i.scdn.co/image/ab67616d0000485104bfd5a5fd5aa6ca648f66aa,64KEffDW9EtZ1y2vBYgq8T,2569352845,600677,2018,Electronic,English
99,Billie Jean,Michael Jackson,https://i.scdn.co/image/ab67616d00004851de437d960dda1ac0a3586d97,3fMbdgg4jU18AjLCKBhRSm,2562849758,1671946,1982,R&B,English
100,Sicko Mode,Travis Scott ft. Drake,https://i.scdn.co/image/ab67616d00004851daec894c14c0ca42d76eeb32,0Y5tJX1MQlPlqiwlOH1tJY,2545963656,551674,2018,Hip-hop,English
101,Someone Like You,Adele,https://i.scdn.co/image/ab67616d00004851164feb363334f93b6458d2a9,4dpARuHxo51G3z768sgnrY,2544821487,957328,2011,Pop,English
102,Levitating [DaBaby Remix],Dua Lipa ft. DaBaby,https://i.scdn.co/image/ab67616d000048512172b607853fa89cefa2beb4,6M2wZ9GZgrQXHCFfjv46we,2528753213,690524,2020,Pop,English
103,All I Want For Christmas Is You,Mariah Carey,https://i.scdn.co/image/ab67616d000048514246e3158421f5abb75abc4f,4iHNK0tOyZPYnBU7nGAgpQ,2510320436,83856,1994,Seasonal,English
104,New Rules,Dua Lipa,https://i.scdn.co/image/ab67616d00004851838698485511bd9108fadadc,6M2wZ9GZgrQXHCFfjv46we,2510060220,740036,2017,Pop,English
105,Africa,Toto,https://i.scdn.co/image/ab67616d000048514a052b99c042dc15f933145b,0PFtn5NtBbbUNbU9EAmIWF,2507672663,1506325,1982,Pop,English
106,One Of The Girls,"The Weeknd, Jennie, & Lily-Rose Depp",https://i.scdn.co/image/ab67616d00004851fab8b9788d94224614c49185,1Xyo4u8uXC1ZmMpatF05PJ,2507087992,1903873,2023,R&B,English
107,We Don't Talk Anymore,Charlie Puth ft. Selena Gomez,https://i.scdn.co/image/ab67616d00004851633a2d775747bccfbcb17a45,6VuMaDnrHyPL1p4EHjYLi7,2501768497,1215194,2016,Pop,English
108,Sad!,XXXTentacion,https://i.scdn.co/image/ab67616d00004851806c160566580d6335d1f16c,15UsOTVnJzReFVN1VCnxy4,2500407989,437301,2018,Hip-hop,English
109,Night Changes,One Direction,https://i.scdn.co/image/ab67616d00004851d304ba2d71de306812eebaf4,4AK6F7OLvEQ5QYCBNiQWHq,2494949000,1128365,2014,Pop,English
110,XO Tour Llif3,Lil Uzi Vert,https://i.scdn.co/image/ab67616d00004851d7e1c68ed8e464b03095afda,4O15NlyKLIASxsJ0PrXPfz,2486350733,610943,2017,Hip-hop,English
111,Too Good At Goodbyes,Sam Smith,https://i.scdn.co/image/ab67616d00004851005cd7d0ae87b081601f6cca,2wY79sveU1sp5g7SokKOiI,2481706598,627846,2017,Pop,English
112,Stay With Me,Sam Smith,https://i.scdn.co/image/ab67616d00004851b11bdc91cb9ac6b14f5c1dae,2wY79sveU1sp5g7SokKOiI,2477488290,659568,2014,Soul / Motown R&B,English
113,La Canción,J Balvin & Bad Bunny,https://i.scdn.co/image/ab67616d000048514891d9b25d8919448388f3bb,1vyhD5VmyZ7KMfW5gqLgo5,2474299908,1991820,2019,Reggaeton,Spanish
114,Jocelyn Flores,XXXTentacion,https://i.scdn.co/image/ab67616d00004851203c89bd4391468eea4cc3f5,15UsOTVnJzReFVN1VCnxy4,2470397783,330512,2017,Hip-hop,English
115,Without Me,Halsey,https://i.scdn.co/image/ab67616d00004851309b0cb81728d42a6dfb2b81,26VFTg2z8YR0cCuwLzESi2,2461563416,857850,2018,Pop,English
116,Everybody Wants To Rule The World,Tears For Fears,https://i.scdn.co/image/ab67616d000048519565c4df27be4aee5edc8009,4bthk9UfsYUYdcFyqxmSUU,2453640429,1326200,1985,Pop,English
117,7 Years,Lukas Graham,https://i.scdn.co/image/ab67616d0000485177029eb01ff27c5f4a25c3f3,25u4wHJWxCA9vO0CzxAbK7,2448467151,978414,2015,Pop,English
118,Somewhere Only We Know,Keane,https://i.scdn.co/image/ab67616d000048517d6cd95a046a3c0dacbc7d33,53A0W3U0s8diEn9RhXQhVz,2444948184,1642409,2004,Alternative,English
119,When The Party's Over,Billie Eilish,https://i.scdn.co/image/ab67616d0000485150a3147b4edd7701a876c6ce,6qqNVTkY8uBg9cP3Jd7DAH,2444133929,748670,2018,Pop,English
120,'Till I Collapse,Eminem ft. Nate Dogg,https://i.scdn.co/image/ab67616d000048516ca5c90113b30c3c43ffb8f4,7dGJo4pcD2V6oG8kP0tJRR,2442216660,894469,2002,Hip-hop,English
121,I'm Not The Only One,Sam Smith,https://i.scdn.co/image/ab67616d00004851b11bdc91cb9ac6b14f5c1dae,2wY79sveU1sp5g7SokKOiI,2440615337,1083301,2014,Soul / Motown R&B,English
122,Memories,Maroon 5,https://i.scdn.co/image/ab67616d0000485186a8ab515de4b7aef28cd631,04gDigrS5kc9YWfZHwBETP,2439919223,579574,2019,Pop,English
123,Danza Kuduro,Don Omar & Lucenzo,https://i.scdn.co/image/ab67616d00004851d4c273fe23a0950d7ac9fce2,33ScadVnbm2X8kkUqOkC6Z,2439769586,1725889,2010,Reggaeton,Spanish
124,Havana,Camila Cabello ft. Young Thug,https://i.scdn.co/image/ab67616d000048516eb0b9e73adcf04e4ed3eca4,4nDoRrQiYLoBzwC5BhVJzF,2433011545,554117,2017,Pop,English
125,Gangsta's Paradise,Coolio ft. L.V.,https://i.scdn.co/image/ab67616d000048519d29bb8d9e2c9d707933b14f,3y24n3XhZ96wgwRXjvS17T,2432252154,1296697,1995,Hip-hop,English
126,Stitches,Shawn Mendes,https://i.scdn.co/image/ab67616d000048512d6a4125a1d62dc6185f74ea,7n2wHs1TKAczGzO7Dd2rGr,2425484996,826282,2015,Pop,English
